date,description,amount,category.name,category.parentName
2022-10-13,ALDI 40003,-142.57,Groceries,Food & Dining
2022-10-13,MEDPARK MANAGEMENT INC,-10.5,Parking,Auto & Transport
2022-10-12,TARGET        00023739,-31.85,Shopping,Root
2022-10-11,OPS* SOMERSET PLACE 2,-5.0,Laundry,Personal Care
2022-10-11,OPS* SOMERSET PLACE 2,-20.0,Laundry,Personal Care
2022-10-10,MARIANOS #522,-32.81,Groceries,Food & Dining
2022-10-10,LULULEMONCOM*,-106.51,Clothing,Shopping
2022-10-10,MARIANOS 522,-17.07,Groceries,Food & Dining
2022-10-09,MARIANOS 522,-28.1,Groceries,Food & Dining
2022-10-09,MARIANOS 522,-7.99,Groceries,Food & Dining
2022-10-09,CHIPOTLE 2408,-10.3,Fast Food,Food & Dining
2022-10-08,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
2022-10-07,APPLE.COM/BILL,-0.99,Electronics & Software,Shopping
2022-10-06,TARGET        00023739,-19.64,Shopping,Root
2022-10-05,POSHMARK,-34.92,Clothing,Shopping
2022-10-05,Foremost Liquors,-9.98,Alcohol & Bars,Food & Dining
2022-10-05,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
2022-10-04,Nick Bunde Paid Natalie Bunde,54.0,Income,Root
2022-10-04,TARGET        00023739,-21.38,Shopping,Root
2022-10-04,ALDI 40003,-87.89,Groceries,Food & Dining
2022-10-04,MARIANOS #522,-23.71,Groceries,Food & Dining
2022-10-04,TST* Millennium Hall,-28.84,Restaurants,Food & Dining
2022-10-03,CVS/PHARMACY #08910,-4.47,Pharmacy,Health & Fitness
2022-10-03,FOREMOST LIQUORS,-51.09,Alcohol & Bars,Food & Dining
2022-10-03,TST* Roberts Pizza and D,-218.85,Restaurants,Food & Dining
2022-10-03,LINCOLN STATION,-28.25,Service & Parts,Auto & Transport
2022-10-03,Lee Schmalz Paid Murphy Hanson,-10.0,Restaurants,Food & Dining
2022-10-02,confused,-60.0,Restaurants,Food & Dining
2022-10-02,Stuff,20.0,Income,Root
2022-10-02,Thanks,10.0,Income,Root
2022-10-02,Stuff,30.0,Income,Root
2022-10-02,ANNUAL MEMBERSHIP FEE,-95.0,Service Fee,Fees & Charges
2022-10-02,you know what ,44.0,Income,Root
2022-10-02,Mimosas,88.0,Income,Root
2022-09-30,FC 12FIFTEEN,-4343.85,Transfer,Root
2022-09-30,Speedy turtles,-94.0,Vacation,Travel
2022-09-28,MARIANOS #522,-6.06,Groceries,Food & Dining
2022-09-26,SQ *EMPIRICAL BREWERY,-16.8,Alcohol & Bars,Food & Dining
2022-09-26,Jul-18 to sep-25 money,-506.18,Transfer,Root
2022-09-26,Happy hour ,22.0,Income,Root
2022-09-25,FAT CAT RESTAURANT 24801972268091570000080,-84.83,Restaurants,Food & Dining
2022-09-23,1193 GREAT CLIPS AT LI,-26.0,Hair,Personal Care
2022-09-23,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
2022-09-19,EPC*FORTNITE,-8.81,Entertainment,Root
2022-09-19,LWKS SOFTWARE LTD,-23.99,Electronics & Software,Shopping
2022-09-16,MCDONALD'S F4588,-8.07,Fast Food,Food & Dining
2022-09-12,PICK ME UP CAFE,-88.48,Restaurants,Food & Dining
2022-09-12,SQ *METROPOLITAN BREWING,-8.4,Alcohol & Bars,Food & Dining
2022-09-11,Brunch,37.24,Restaurants,Food & Dining
2022-09-11,Lee Schmalz Paid Nick Dart,-7.0,Public Transportation,Auto & Transport
2022-09-11,Happy hour ,13.0,Income,Root
2022-09-08,UBER   TRIP,-37.52,Ride Share,Auto & Transport
2022-09-08,UBER   TRIP,-50.94,Ride Share,Auto & Transport
2022-09-07,UBER   TRIP,-43.18,Ride Share,Auto & Transport
2022-09-07,UBER   TRIP,-24.95,Ride Share,Auto & Transport
2022-09-05,PICK ME UP CAFE,-59.84,Restaurants,Food & Dining
2022-09-05,ALBA AUTO SERVICES,-80.0,Service & Parts,Auto & Transport
2022-09-01,ULTRASIGNUP,-107.25,Sports,Health & Fitness
2022-08-31,AIRBNB  HMNDBBFX3S,-495.95,Hotel,Travel
2022-08-29,MARIANOS #522,-9.1,Groceries,Food & Dining
2022-08-27,MARIANOS #522,-13.65,Groceries,Food & Dining
2022-08-22,Beers,-14.0,Alcohol & Bars,Food & Dining
2022-08-19,LWKS SOFTWARE LTD,-23.99,Electronics & Software,Shopping
2022-08-15,HAZELWOOD FOOD & DRINK -T,-78.59,Restaurants,Food & Dining
2022-08-15,HOLIDAY STATIONS 0515,-53.86,Gas & Fuel,Auto & Transport
2022-08-12,BP#9265216K & J FOODS,-52.11,Gas & Fuel,Auto & Transport
2022-08-11,MARIANOS #522,-11.69,Groceries,Food & Dining
2022-08-09,EPC*EPIC GAMES STORE,-26.45,Entertainment,Root
2022-08-08,2WRIGLEY FIELD,-31.53,Alcohol & Bars,Food & Dining
2022-08-08,2WRIGLEY FIELD,-29.27,Alcohol & Bars,Food & Dining
2022-08-05,MARIANOS #522,-31.5,Groceries,Food & Dining
2022-08-01,POOR PHILS SHELL BAR,-99.05,Gas & Fuel,Auto & Transport
2022-08-01,TST* SHORE CLUB CHICAGO,-110.4,Restaurants,Food & Dining
2022-07-30,Beer,-8.0,Alcohol & Bars,Food & Dining
2022-07-28,Ski u mah,-76.0,Sports,Health & Fitness
2022-07-23,TST* Dock at Montrose Bea,-77.23,Restaurants,Food & Dining
2022-07-22,MARIANOS #522,-26.96,Groceries,Food & Dining
2022-07-19,LWKS SOFTWARE LTD,-23.99,Electronics & Software,Shopping
2022-07-17,June 4- July 17,58.69,Income,Root
2022-07-11,PROGRESSIVE *INSURANCE,-614.0,Auto Insurance,Auto & Transport
2022-07-11,Bar Cargo,-123.93,Alcohol & Bars,Food & Dining
2022-07-10,Pizza and brews,54.0,Restaurants,Food & Dining
2022-07-10,Riverside drinks,-56.0,Alcohol & Bars,Food & Dining
2022-07-07,MARIANOS #522,-3.84,Groceries,Food & Dining
2022-07-04,AMTRAK .COM XXXXXXXXXX,-14.0,Travel,Root
2022-07-04,UBER   TRIP,-24.96,Ride Share,Auto & Transport
2022-07-04,Brunch,-24.0,Restaurants,Food & Dining
2022-07-04,Train,-20.0,Public Transportation,Auto & Transport
2022-07-04,"April, may, June, July cell",-168.0,Mobile Phone,Bills & Utilities
